COMUNI,2022,2023,2024,2025
Agrigento,19.81,19.93,20.13,20.03
Alessandria,14.01,14.17,14.19,13.9
Ancona,16.23,16.21,16.52,16.37
Andria,16.51,16.58,16.63,16.42
Aosta,12.59,12.82,12.93,12.52
Arezzo,14.55,14.6,14.58,14.41
Ascoli Piceno,13.46,13.4,13.46,13.39
Asti,13.83,13.95,13.8,13.59
Avellino,15.79,15.85,15.85,15.8
Bari,17.68,17.76,17.73,17.61
Barletta,16.98,16.8,16.84,16.87
Belluno,12.09,12.28,12.22,11.89
Benevento,15.76,15.82,15.81,15.81
Bergamo,13.76,13.8,13.69,13.43
Biella,14.69,14.8,14.73,14.49
Bologna,16.26,16.39,16.52,16.48
Bolzano,13.74,13.8,13.62,13.46
Brescia,15.62,15.78,15.75,15.42
Brindisi,17.54,17.81,17.96,17.31
Cagliari,18.68,18.76,18.95,18.74
Caltanissetta,17.74,17.85,17.98,18.08
Campobasso,13.65,13.8,13.99,13.68
Carbonia,18.33,18.4,18.49,18.4
Caserta,16.91,16.9,16.67,16.53
Catania,20.86,20.91,21.18,21.63
Catanzaro,17.52,17.62,17.74,17.6
Chieti,16.07,16.22,16.35,16.1
Como,15.52,15.63,15.56,15.38
Cosenza,16.37,16.43,16.42,16.32
Cremona,15.16,15.38,15.68,15.25
Crotone,18.57,18.66,18.78,18.67
Cuneo,13.33,13.41,13.37,13.25
Enna,14.76,14.9,15.05,14.91
Fermo,15.17,15.15,15.23,15.11
Ferrara,15.23,15.3,15.36,15.26
Firenze,16.68,16.72,16.53,16.49
Foggia,17.63,17.76,17.95,17.58
Forlì,15.81,15.89,16.06,16.22
Frosinone,15.83,15.99,16.03,15.85
Genova,17.22,17.35,17.19,17.0
Gorizia,14.49,14.65,14.61,14.35
Grosseto,15.71,15.66,15.67,15.37
Imperia,17.01,17.12,17.01,16.82
Isernia,13.64,13.86,14.12,13.79
L'Aquila,12.87,12.93,12.97,12.74
La Spezia,16.89,16.98,16.87,16.64
Latina,18.34,18.41,18.14,18.03
Lecce,17.8,17.91,17.95,17.8
Lecco,15.48,15.58,15.51,15.38
Livorno,16.41,16.59,16.55,16.0
Lodi,14.25,14.32,14.27,14.3
Lucca,16.01,16.09,15.96,15.78
Macerata,16.11,16.24,16.17,15.89
Mantova,16.52,16.73,16.7,16.48
Massa Carrara,18.24,18.42,18.53,18.45
Matera,16.56,16.69,16.7,16.32
Messina,19.8,19.84,19.92,19.71
Milano,16.14,16.45,16.7,15.98
Modena,15.48,15.57,15.7,15.63
Monza,15.39,15.51,15.44,15.27
Napoli,16.9,16.91,17.0,16.68
Novara,14.89,15.0,14.91,14.74
Nuoro,17.81,17.89,17.89,17.85
Oristano,18.01,18.02,18.05,18.17
Padova,14.98,15.07,14.97,14.71
Palermo,19.03,19.12,19.13,18.9
Parma,15.45,15.61,15.82,15.45
Pavia,14.55,14.68,14.62,14.37
Perugia,15.68,15.83,15.88,15.61
Pesaro urbino,14.76,14.73,14.48,14.48
Pescara,16.29,16.38,16.33,16.32
Piacenza,15.24,15.35,15.4,15.25
Pisa,16.63,16.75,16.72,16.47
Pistoia,16.01,16.13,16.12,16.05
Pordenone,14.42,14.55,14.59,14.3
Potenza,13.8,13.84,13.79,13.59
Prato,16.96,17.09,17.07,16.94
Ragusa,15.09,15.06,15.29,15.37
Ravenna ,15.44,15.67,15.97,15.51
Reggio di Calabria,19.74,19.81,19.86,19.96
Reggio nell'Emilia,15.63,15.67,15.54,15.55
Rieti,14.22,14.32,14.21,14.0
Rimini,15.26,15.31,15.4,15.36
Roma,17.72,17.67,17.56,17.35
Rovigo,14.6,14.68,14.54,14.36
Salerno,17.93,17.84,17.61,17.25
Sassari,16.45,16.53,16.62,16.57
Savona,17.38,17.5,17.35,17.29
Siena,15.29,15.23,15.2,14.91
Siracusa,18.11,18.09,18.14,18.38
Sondrio,13.77,14.12,14.26,13.75
Taranto,19.15,19.3,19.27,18.81
Teramo,15.23,15.04,14.73,14.9
Terni,16.59,16.66,16.73,16.51
Torino,15.38,15.47,15.36,15.18
Trani,16.88,16.82,16.46,16.73
Trapani,18.9,18.86,18.92,18.94
Trento,13.86,14.0,13.95,13.73
Treviso,14.76,14.86,14.72,14.58
Trieste,16.33,16.43,16.29,16.06
Udine,15.41,15.6,15.49,15.24
Varese,13.95,14.08,13.95,13.78
Venezia,15.66,15.79,15.61,15.43
Verbania,14.56,14.67,14.64,14.43
Vercelli,14.04,14.17,14.1,13.93
Verona,14.16,14.22,14.25,13.97
Vibo Valentia,16.08,16.14,16.24,16.23
Vicenza,14.03,14.14,13.99,13.75
Viterbo,16.83,16.96,16.83,16.65
